ID;trksegID;lat;lon;ele;time
193;1;-22.713.461.676.612.400;-4.762.863.733.805.710;545.685.546.875;2025-04-25T14:02:00Z
194;1;-22.713.319.268.077.600;-47.628.646.641.969.600;545.685.546.875;2025-04-25T14:02:05Z
195;1;-22.713.339.636.102.300;-47.628.485.541.790.700;545.685.546.875;2025-04-25T14:02:10Z
196;1;-22.713.469.974.696.600;-4.762.855.427.339.670;545.685.546.875;2025-04-25T14:02:15Z
197;1;-22.713.368.805.125.300;-47.628.677.152.097.200;546.166.259.765.625;2025-04-25T14:02:20Z
198;1;-22.713.281.884.789.400;-47.628.534.156.829.100;546.166.259.765.625;2025-04-25T14:02:25Z
199;1;-22.713.423.371.315.000;-47.628.483.362.495.800;545.685.546.875;2025-04-25T14:02:30Z
200;1;-22.713.434.686.884.200;-47.628.653.515.130.200;545.685.546.875;2025-04-25T14:02:35Z
201;1;-22.713.293.954.730.000;-47.628.613.952.547.300;5.466.468.505.859.370;2025-04-25T14:02:40Z
202;1;-22.713.368.888.944.300;-47.628.470.286.726.900;5.466.468.505.859.370;2025-04-25T14:02:45Z
203;1;-22.713.476.261.124.000;-47.628.583.693.876.800;546.166.259.765.625;2025-04-25T14:02:50Z
204;1;-22.713.335.696.607.800;-47.628.653.682.768.300;546.166.259.765.625;2025-04-25T14:02:55Z
205;1;-22.713.303.593.918.600;-4.762.849.610.298.870;5.466.468.505.859.370;2025-04-25T14:03:00Z
206;1;-22.713.447.595.015.100;-47.628.506.496.548.600;5.466.468.505.859.370;2025-04-25T14:03:05Z
207;1;-22.713.406.523.689.600;-47.628.661.394.119.200;546.166.259.765.625;2025-04-25T14:03:10Z
208;1;-22.713.279.370.218.500;-47.628.570.450.469.800;5.466.468.505.859.370;2025-04-25T14:03:15Z
209;1;-22.713.399.231.433.800;-4.762.846.240.773.790;5.466.468.505.859.370;2025-04-25T14:03:20Z
210;1;-22.713.468.046.858.900;-47.628.616.215.661.100;5.466.468.505.859.370;2025-04-25T14:03:25Z
211;1;-22.713.322.872.295.900;-4.762.863.926.589.480;546.166.259.765.625;2025-04-25T14:03:30Z
212;1;-22.713.338.294.997.800;-47.628.477.914.258.800;5.466.468.505.859.370;2025-04-25T14:03:35Z
213;1;-22.713.475.590.571.700;-47.628.538.766.875.800;54.712.744.140.625;2025-04-25T14:03:40Z
214;1;-2.271.338.221.617.040;-47.628.669.776.022.400;546.166.259.765.625;2025-04-25T14:03:45Z
215;1;-22.713.290.434.330.700;-47.628.538.515.418.700;546.166.259.765.625;2025-04-25T14:03:50Z
216;1;-22.713.430.998.846.800;-47.628.483.697.772.000;545.685.546.875;2025-04-25T14:03:55Z
217;1;-22.713.441.476.225.800;-47.628.643.624.484.500;546.166.259.765.625;2025-04-25T14:04:00Z
218;1;-22.713.290.266.692.600;-47.628.609.677.776.600;546.166.259.765.625;2025-04-25T14:04:05Z
219;1;-22.713.360.842.317.300;-47.628.467.185.422.700;545.685.546.875;2025-04-25T14:04:10Z
220;1;-22.713.475.925.847.800;-47.628.577.491.268.500;545.685.546.875;2025-04-25T14:04:15Z
221;1;-22.713.350.532.576.400;-47.628.668.518.736.900;545.204.833.984.375;2025-04-25T14:04:20Z
222;1;-22.713.306.108.489.600;-47.628.515.549.004.000;5.447.242.431.640.620;2025-04-25T14:04:25Z
223;1;-22.713.453.797.623.500;-47.628.518.063.575.000;5.447.242.431.640.620;2025-04-25T14:04:30Z
224;1;-22.713.418.090.716.000;-47.628.669.189.289.200;54.424.365.234.375;2025-04-25T14:04:35Z
225;1;-22.713.285.824.283.900;-47.628.585.621.714.500;5.447.242.431.640.620;2025-04-25T14:04:40Z
226;1;-22.713.393.615.558.700;-47.628.462.323.918.900;5.447.242.431.640.620;2025-04-25T14:04:45Z
227;1;-22.713.465.532.287.900;-47.628.607.163.205.700;545.204.833.984.375;2025-04-25T14:04:50Z
228;1;-22.713.312.394.917.000;-47.628.639.433.532.900;545.204.833.984.375;2025-04-25T14:04:55Z
229;1;-22.713.323.542.848.200;-47.628.476.321.697.200;546.166.259.765.625;2025-04-25T14:05:00Z
230;1;-22.713.469.387.963.400;-47.628.537.593.409.400;545.685.546.875;2025-04-25T14:05:05Z
231;1;-22.713.379.366.323.300;-47.628.661.477.938.200;545.685.546.875;2025-04-25T14:05:10Z
232;1;-22.713.285.321.369.700;-47.628.535.246.476.500;545.685.546.875;2025-04-25T14:05:15Z
233;1;-22.713.425.634.428.800;-47.628.477.076.068.500;545.685.546.875;2025-04-25T14:05:20Z
234;1;-22.713.445.164.263.200;-47.628.643.708.303.500;545.685.546.875;2025-04-25T14:05:25Z
235;1;-227.132.957.149.297;-47.628.618.311.136.900;546.166.259.765.625;2025-04-25T14:05:30Z
236;1;-22.713.361.596.688.600;-47.628.466.682.508.500;546.166.259.765.625;2025-04-25T14:05:35Z
237;1;-2.271.347.408.182.910;-47.628.571.959.212.400;5.466.468.505.859.370;2025-04-25T14:05:40Z
238;1;-22.713.352.208.957.000;-47.628.657.706.081.800;5.466.468.505.859.370;2025-04-25T14:05:45Z
239;1;-22.713.299.822.062.200;-4.762.850.247.323.510;5.466.468.505.859.370;2025-04-25T14:05:50Z
240;1;-22.713.449.103.757.700;-47.628.499.288.111.900;546.166.259.765.625;2025-04-25T14:05:55Z
241;1;-22.713.416.665.792.400;-47.628.661.561.757.300;546.166.259.765.625;2025-04-25T14:06:00Z
242;1;-2.271.328.398.026.520;-47.628.586.459.904.900;545.685.546.875;2025-04-25T14:06:05Z
243;1;-22.713.390.178.978.400;-47.628.471.711.650.400;545.685.546.875;2025-04-25T14:06:10Z
244;1;-22.713.468.968.868.200;-47.628.612.611.442.800;545.204.833.984.375;2025-04-25T14:06:15Z
245;1;-22.713.323.291.391.100;-4.762.864.806.689.320;5.447.242.431.640.620;2025-04-25T14:06:20Z
246;1;-22.713.327.566.161.700;-47.628.483.027.219.700;5.447.242.431.640.620;2025-04-25T14:06:25Z
247;1;-22.713.470.393.791.700;-47.628.532.228.991.300;545.204.833.984.375;2025-04-25T14:06:30Z
248;1;-22.713.382.551.446.500;-47.628.667.848.184.700;5.447.242.431.640.620;2025-04-25T14:06:35Z
249;1;-22.713.282.890.617.800;-47.628.542.622.551.300;545.204.833.984.375;2025-04-25T14:06:40Z
250;1;-22.713.421.359.658.200;-47.628.471.292.555.300;545.685.546.875;2025-04-25T14:06:45Z
