latitude,longitude,angle_deg
-22.713421585095507,-47.628657240756475,244.0
-22.713420862778662,-47.62865761845182,244.5
-22.713420137448956,-47.62865798929952,245.0
-22.71341940916163,-47.62865835327134,245.5
-22.713418677972143,-47.628658710339565,246.0
-22.71341794393618,-47.628659060477,246.5
-22.713417207109636,-47.62865940365698,247.0
-22.71341646754863,-47.62865973985337,247.5
-22.713415725309474,-47.62866006904057,248.0
-22.713414980448704,-47.62866039119351,248.5
-22.713414233023034,-47.62866070628766,249.0
-22.713413483089386,-47.62866101429902,249.5
-22.713412730704874,-47.628661315204134,250.0
-22.71341197592679,-47.62866160898009,250.5
-22.713411218812613,-47.62866189560451,251.0
-22.713410459420007,-47.628662175055574,251.5
-22.713409697806796,-47.62866244731199,252.0
-22.713408934030983,-47.628662712353034,252.5
-22.713408168150732,-47.62866297015852,253.0
-22.713407400224366,-47.628663220708816,253.5
-22.71340663031037,-47.62866346398484,254.0
-22.713405858467368,-47.628663699968065,254.5
-22.713405084754147,-47.62866392864052,255.0
-22.713404309229624,-47.62866414998479,255.5
-22.71340353195286,-47.62866436398403,256.0
-22.713402752983043,-47.62866457062192,256.5
-22.7134019723795,-47.62866476988275,257.0
-22.71340119020168,-47.62866496175132,257.5
-22.713400406509137,-47.62866514621304,258.0
-22.713399621361564,-47.62866532325385,258.5
-22.713398834818747,-47.62866549286027,259.0
-22.713398046940586,-47.62866565501939,259.5
-22.71339725778708,-47.62866580971885,260.0
-22.713396467418328,-47.628665956946875,260.5
-22.713395675894517,-47.62866609669226,261.0
-22.713394883275924,-47.628666228944354,261.5
-22.713394089622916,-47.628666353693085,262.0
-22.713393294995928,-47.628666470928955,262.5
-22.713392499455473,-47.628666580643035,263.0
-22.713391703062136,-47.628666682826974,263.5
-22.713390905876565,-47.628666777472986,264.0
-22.713390107959473,-47.628666864573866,264.5
-22.713389309371617,-47.628666944122976,265.0
-22.713388510173818,-47.62866701611427,265.5
-22.713387710426936,-47.62866708054225,266.0
-22.713386910191876,-47.62866713740202,266.5
-22.713386109529576,-47.62866718668925,267.0
