ID	trksegID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Temperature	Depth	wtemp	hr	cad
121	1	-22.713.521.104.305.900	-47.628.558.129.072.100	5.447.242.431.640.620	2025-04-25T18:57:54Z																				
122	1	-22.713.488.079.607.400	-47.628.643.624.484.500	5.447.242.431.640.620	2025-04-25T18:57:59Z																				
123	1	-2.271.340.711.042.280	-47.628.664.327.785.300	5.447.242.431.640.620	2025-04-25T18:58:04Z																				
124	1	-22.713.337.875.902.600	-47.628.614.958.375.600	5.447.242.431.640.620	2025-04-25T18:58:09Z																				
125	1	-22.713.341.563.940.000	-47.628.525.272.011.700	54.424.365.234.375	2025-04-25T18:58:14Z																				
126	1	-22.713.402.416.557.000	-47.628.473.807.126.200	5.437.628.173.828.120	2025-04-25T18:58:19Z																				
127	1	-22.713.483.804.836.800	-47.628.503.143.787.300	5.447.242.431.640.620	2025-04-25T18:58:24Z																				
128	1	-22.713.516.242.802.100	-47.628.589.645.028.100	5.447.242.431.640.620	2025-04-25T18:58:29Z																				
129	1	-227.134.701.423.347	-47.628.660.220.652.800	5.447.242.431.640.620	2025-04-25T18:58:34Z																				
130	1	-22.713.389.256.969.000	-47.628.671.955.317.200	545.204.833.984.375	2025-04-25T18:58:39Z																				
131	1	-22.713.329.158.723.300	-47.628.597.607.836.100	5.447.242.431.640.620	2025-04-25T18:58:44Z																				
132	1	-22.713.354.974.985.100	-4.762.850.783.765.310	5.447.242.431.640.620	2025-04-25T18:58:49Z																				
133	1	-22.713.429.993.018.500	-4.762.846.190.482.370	5.447.242.431.640.620	2025-04-25T18:58:54Z																				
134	1	-22.713.503.502.309.300	-47.628.497.192.636.100	5.447.242.431.640.620	2025-04-25T18:58:59Z																				
135	1	-22.713.516.997.173.400	-47.628.581.430.763.000	545.685.546.875	2025-04-25T18:59:04Z																				
136	1	-22.713.459.748.774.700	-47.628.651.838.749.600	545.204.833.984.375	2025-04-25T18:59:09Z																				
137	1	-2.271.336.805.075.400	-47.628.645.971.417.400	5.447.242.431.640.620	2025-04-25T18:59:14Z																				
138	1	-22.713.323.039.934.000	-47.628.572.629.764.600	545.204.833.984.375	2025-04-25T18:59:19Z																				
139	1	-2.271.335.975.266.990	-4.762.848.244.048.650	545.204.833.984.375	2025-04-25T18:59:24Z																				
140	1	-22.713.441.476.225.800	-47.628.458.887.338.600	545.204.833.984.375	2025-04-25T18:59:29Z																				
141	1	-2.271.351.071.074.600	-47.628.511.777.147.600	546.166.259.765.625	2025-04-25T18:59:34Z																				
142	1	-22.713.514.566.421.500	-47.628.607.414.662.800	545.685.546.875	2025-04-25T18:59:39Z																				
143	1	-22.713.448.265.567.400	-47.628.658.879.548.300	545.685.546.875	2025-04-25T18:59:44Z																				
144	1	-22.713.364.781.811.800	-47.628.638.511.523.600	546.166.259.765.625	2025-04-25T18:59:49Z																				
145	1	-2.271.333.527.751.260	-47.628.547.316.417.000	545.685.546.875	2025-04-25T18:59:54Z																				
146	1	-22.713.384.395.465.200	-47.628.468.777.984.300	545.204.833.984.375	2025-04-25T18:59:59Z																				
147	1	-22.713.460.503.146.000	-47.628.464.000.299.500	545.204.833.984.375	2025-04-25T19:00:04Z																				
148	1	-22.713.519.595.563.400	-47.628.532.145.172.300	545.685.546.875	2025-04-25T19:00:09Z																				
149	1	-22.713.509.621.098.600	-47.628.619.652.241.400	545.685.546.875	2025-04-25T19:00:14Z																				
150	1	-22.713.433.932.512.900	-47.628.660.891.205.000	545.204.833.984.375	2025-04-25T19:00:19Z																				
151	1	-22.713.354.639.708.900	-47.628.629.961.982.300	545.204.833.984.375	2025-04-25T19:00:24Z																				
