ID;lat;lon;ele;time;magvar;geoidheight;name;cmt;desc;src;sym;type;fix;sat;hdop;vdop;pdop;ageofdgpsdata;dgpsid;Proximity;Temperature;Depth;DisplayMode;Samples;Expiration;CreationTime;;;
58;-21.962.137.883.529.000;-4.746.922.661.550.340;641.801.025.390.625;2025-04-26T19:43:27Z;;;58;12/03/2014 15:57;12/03/2014 15:57;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
59;-21.962.043.587.118.300;-47.469.379.752.874.300;637.955.810.546.875;2025-04-26T19:43:27Z;;;59;12/03/2014 15:58;12/03/2014 15:58;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
60;-21.962.202.591.821.500;-4.746.943.767.182.520;635.552.490.234.375;2025-04-26T19:43:27Z;;;60;12/03/2014 15:59;12/03/2014 15:59;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
61;-21.962.172.416.970.100;-47.469.444.125.890.700;635.312.255.859.375;2025-04-26T19:43:27Z;;;61;12/03/2014 16:00;12/03/2014 16:00;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
62;-21.962.166.968.733.000;-47.469.432.558.864.300;63.579.296.875;2025-04-26T19:43:27Z;;;62;12/03/2014 16:00;12/03/2014 16:00;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
63;-21.962.373.917.922.300;-47.469.547.810.032.900;634.110.595.703.125;2025-04-26T19:43:27Z;;;63;12/03/2014 16:06;12/03/2014 16:06;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
64;-21.962.373.750.284.300;-47.469.547.810.032.900;634.350.830.078.125;2025-04-26T19:43:27Z;;;64;12/03/2014 16:06;12/03/2014 16:06;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
65;-21.962.368.134.409.100;-47.469.568.345.695.700;63.483.154.296.875;2025-04-26T19:43:27Z;;;65;12/03/2014 16:07;12/03/2014 16:07;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
66;-21.962.556.224.316.300;-47.469.222.927.466.000;635.072.021.484.375;2025-04-26T19:43:27Z;;;66;12/03/2014 16:11;12/03/2014 16:11;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
67;-219.622.294.139.117;-47.469.022.013.247.000;64.228.173.828.125;2025-04-26T19:43:27Z;;;67;12/03/2014 16:13;12/03/2014 16:13;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
68;-2.196.219.177.916.640;-47.469.081.692.397.500;643.002.685.546.875;2025-04-26T19:43:27Z;;;68;12/03/2014 16:14;12/03/2014 16:14;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
69;-21.962.506.687.268.600;-47.469.298.532.232.600;6.437.236.328.125;2025-04-26T19:43:27Z;;;69;12/03/2014 16:17;12/03/2014 16:17;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
70;-21.962.472.405.284.600;-47.469.359.803.944.800;6.437.236.328.125;2025-04-26T19:43:27Z;;;70;12/03/2014 16:18;12/03/2014 16:18;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
71;-21.962.159.005.925.000;-47.469.163.248.315.400;64.228.173.828.125;2025-04-26T19:43:27Z;;;71;12/03/2014 16:21;12/03/2014 16:21;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
72;-2.196.215.808.391.570;-47.469.163.499.772.500;64.228.173.828.125;2025-04-26T19:43:27Z;;;72;12/03/2014 16:21;12/03/2014 16:21;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
73;-21.962.126.484.140.700;-47.469.216.054.305.400;640.839.599.609.375;2025-04-26T19:43:27Z;;;73;12/03/2014 16:21;12/03/2014 16:21;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
74;-21.962.437.368.929.300;-47.469.419.231.638.300;64.011.865.234.375;2025-04-26T19:43:27Z;;;74;12/03/2014 16:23;12/03/2014 16:23;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
75;-21.962.394.202.128.000;-4.746.946.943.923.830;640.839.599.609.375;2025-04-26T19:43:27Z;;;75;12/03/2014 16:24;12/03/2014 16:24;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
76;-21.962.097.566.574.800;-47.469.268.776.476.300;641.801.025.390.625;2025-04-26T19:43:27Z;;;76;12/03/2014 16:26;12/03/2014 16:26;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
77;-21.962.069.235.742.000;-47.469.340.022.653.300;641.080.078.125;2025-04-26T19:43:27Z;;;77;12/03/2014 16:27;12/03/2014 16:27;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
78;-21.962.159.257.382.100;-47.469.557.113.945.400;;2025-04-26T19:43:27Z;;;78;12/05/2014 09:03;12/05/2014 09:03;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
79;-22.017.315.030.097.900;-47.215.790.301.561.300;6.136.826.171.875;2025-04-26T19:43:27Z;;;79;01/27/2017 09:06;01/27/2017 09:06;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
80;-22.017.343.444.749.700;-47.215.710.757.300.200;607.914.794.921.875;2025-04-26T19:43:27Z;;;80;01/27/2017 09:08;01/27/2017 09:08;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
81;-22.017.343.612.387.700;-47.215.711.008.757.300;607.914.794.921.875;2025-04-26T19:43:27Z;;;81;01/27/2017 09:08;01/27/2017 09:08;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
82;-22.017.343.696.206.800;-47.215.711.008.757.300;607.914.794.921.875;2025-04-26T19:43:27Z;;;82;01/27/2017 09:08;01/27/2017 09:08;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
83;-22.017.563.469.707.900;-47.215.833.216.905.500;606.713.134.765.625;2025-04-26T19:43:27Z;;;83;01/27/2017 09:09;01/27/2017 09:09;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
84;-22.017.622.478.306.200;-47.215.856.602.415.400;6.059.921.875;2025-04-26T19:43:27Z;;;84;01/27/2017 09:09;01/27/2017 09:09;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
85;-22.017.413.014.546.000;-47.216.621.953.994.000;607.914.794.921.875;2025-04-26T19:43:27Z;;;85;01/27/2017 09:11;01/27/2017 09:11;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
86;-22.017.387.701.198.400;-47.216.635.029.762.900;605.511.474.609.375;2025-04-26T19:43:27Z;;;86;01/27/2017 09:12;01/27/2017 09:12;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
87;-22.017.388.036.474.500;-47.216.635.281.220.000;605.511.474.609.375;2025-04-26T19:43:27Z;;;87;01/27/2017 09:12;01/27/2017 09:12;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
88;-22.010.756.023.228.100;-47.229.762.431.234.100;676.408.203.125;2025-04-26T19:43:27Z;;;88;01/27/2017 09:25;01/27/2017 09:25;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
89;-22.010.762.644.931.600;-47.229.772.489.517.900;67.544.677.734.375;2025-04-26T19:43:27Z;;;89;01/27/2017 09:25;01/27/2017 09:25;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
90;-22.010.709.587.484.500;-47.229.788.918.048.100;674.725.830.078.125;2025-04-26T19:43:27Z;;;90;01/27/2017 09:26;01/27/2017 09:26;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
91;-22.010.679.915.547.300;-47.229.798.976.331.900;6.740.048.828.125;2025-04-26T19:43:27Z;;;91;01/27/2017 09:26;01/27/2017 09:26;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
92;-22.010.649.656.876.900;-47.229.805.178.940.200;6.737.646.484.375;2025-04-26T19:43:27Z;;;92;01/27/2017 09:27;01/27/2017 09:27;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
93;-22.010.621.828.958.300;-47.229.816.829.785.700;673.043.701.171.875;2025-04-26T19:43:27Z;;;93;01/27/2017 09:27;01/27/2017 09:27;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
94;-22.010.592.995.211.400;-47.229.823.870.584.300;67.280.322.265.625;2025-04-26T19:43:27Z;;;94;01/27/2017 09:27;01/27/2017 09:27;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
95;-22.010.556.366.294.600;-47.229.827.055.707.500;673.043.701.171.875;2025-04-26T19:43:27Z;;;95;01/27/2017 09:28;01/27/2017 09:28;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
96;-22.010.529.125.109.300;-47.229.832.923.039.700;6.740.048.828.125;2025-04-26T19:43:27Z;;;96;01/27/2017 09:28;01/27/2017 09:28;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
97;-22.010.505.571.961.400;-47.229.833.425.953.900;6.740.048.828.125;2025-04-26T19:43:27Z;;;97;01/27/2017 09:28;01/27/2017 09:28;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
98;-22.010.482.102.632.500;-47.229.839.125.648.100;6.737.646.484.375;2025-04-26T19:43:27Z;;;98;01/27/2017 09:29;01/27/2017 09:29;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
