ID;trksegID;lat;lon;ele;time;magvar;geoidheight;name;cmt;desc;src;sym;type;fix;sat;hdop;vdop;pdop;ageofdgpsdata;dgpsid;Temperature;Depth;wtemp;hr;cad
163;1;-22.713.334.858.417.500;-47.628.649.910.911.900;542.801.513.671.875;2025-04-23T14:02:41Z;;;;;;;;;;;;;;;;;;;;
164;1;-22.713.334.858.417.500;-47.628.649.827.092.800;542.801.513.671.875;2025-04-23T14:02:46Z;;;;;;;;;;;;;;;;;;;;
165;1;-22.713.334.858.417.500;-47.628.649.659.454.800;542.801.513.671.875;2025-04-23T14:02:51Z;;;;;;;;;;;;;;;;;;;;
166;1;-22.713.335.109.874.600;-47.628.649.659.454.800;542.801.513.671.875;2025-04-23T14:02:56Z;;;;;;;;;;;;;;;;;;;;
167;1;-22.713.335.026.055.500;-47.628.649.575.635.700;542.801.513.671.875;2025-04-23T14:03:01Z;;;;;;;;;;;;;;;;;;;;
168;1;-22.713.334.942.236.500;-47.628.649.491.816.700;542.801.513.671.875;2025-04-23T14:03:06Z;;;;;;;;;;;;;;;;;;;;
169;1;-22.713.334.774.598.400;-47.628.649.407.997.700;542.801.513.671.875;2025-04-23T14:03:11Z;;;;;;;;;;;;;;;;;;;;
170;1;-22.713.334.774.598.400;-47.628.649.407.997.700;542.801.513.671.875;2025-04-23T14:03:16Z;;;;;;;;;;;;;;;;;;;;
171;1;-22.713.334.774.598.400;-47.628.649.324.178.600;542.801.513.671.875;2025-04-23T14:03:21Z;;;;;;;;;;;;;;;;;;;;
172;1;-22.713.334.858.417.500;-47.628.649.240.359.600;542.801.513.671.875;2025-04-23T14:03:26Z;;;;;;;;;;;;;;;;;;;;
173;1;-22.713.334.858.417.500;-47.628.649.072.721.600;542.801.513.671.875;2025-04-23T14:03:31Z;;;;;;;;;;;;;;;;;;;;
174;1;-22.713.334.858.417.500;-47.628.649.072.721.600;542.801.513.671.875;2025-04-23T14:03:36Z;;;;;;;;;;;;;;;;;;;;
175;1;-22.713.334.858.417.500;-47.628.649.072.721.600;542.801.513.671.875;2025-04-23T14:03:41Z;;;;;;;;;;;;;;;;;;;;
176;1;-22.713.334.774.598.400;-47.628.649.072.721.600;542.801.513.671.875;2025-04-23T14:03:46Z;;;;;;;;;;;;;;;;;;;;
177;1;-22.713.334.690.779.400;-47.628.648.988.902.500;5.423.209.228.515.620;2025-04-23T14:03:51Z;;;;;;;;;;;;;;;;;;;;
178;1;-22.713.334.606.960.400;-47.628.648.821.264.500;542.801.513.671.875;2025-04-23T14:03:56Z;;;;;;;;;;;;;;;;;;;;
179;1;-22.713.334.606.960.400;-4.762.864.856.980.740;542.801.513.671.875;2025-04-23T14:04:01Z;;;;;;;;;;;;;;;;;;;;
180;1;-22.713.334.858.417.500;-47.628.648.402.169.300;5.423.209.228.515.620;2025-04-23T14:04:06Z;;;;;;;;;;;;;;;;;;;;
181;1;-22.713.335.026.055.500;-47.628.648.234.531.200;5.423.209.228.515.620;2025-04-23T14:04:11Z;;;;;;;;;;;;;;;;;;;;
182;1;-22.713.335.109.874.600;-47.628.648.150.712.200;5.423.209.228.515.620;2025-04-23T14:04:16Z;;;;;;;;;;;;;;;;;;;;
183;1;-22.713.335.193.693.600;-4.762.864.806.689.320;5.423.209.228.515.620;2025-04-23T14:04:21Z;;;;;;;;;;;;;;;;;;;;
184;1;-22.713.335.109.874.600;-4.762.864.806.689.320;5.423.209.228.515.620;2025-04-23T14:04:26Z;;;;;;;;;;;;;;;;;;;;
185;1;-22.713.335.026.055.500;-47.628.647.983.074.100;5.423.209.228.515.620;2025-04-23T14:04:31Z;;;;;;;;;;;;;;;;;;;;
186;1;-22.713.335.193.693.600;-47.628.647.983.074.100;5.423.209.228.515.620;2025-04-23T14:04:36Z;;;;;;;;;;;;;;;;;;;;
